UEI,Start Date,End Date,Duration(Days),Main Cause,District
UEI-IMD-FL-1995-0051,1995-09-02,1995-09-03,2.0,heavy rains,Wayanad
UEI-IMD-FL-1995-0052,1995-10-07,1995-10-07,1.0,heavy rains,Kozhikode
UEI-IMD-FL-1995-0052,1995-10-07,1995-10-07,1.0,heavy rains,Thiruvananthapuram
UEI-IMD-FL-1995-0053,1995-10-15,1995-10-28,14.0,heavy rains,Alappuzha
UEI-IMD-FL-1995-0053,1995-10-15,1995-10-28,14.0,heavy rains,Kollam
UEI-IMD-FL-1995-0053,1995-10-15,1995-10-28,14.0,heavy rains,Malappuram
UEI-IMD-FL-1995-0053,1995-10-15,1995-10-28,14.0,heavy rains,Thiruvananthapuram
UEI-IMD-FL-1995-0053,1995-10-15,1995-10-28,14.0,heavy rains,Wayanad
UEI-IMD-FL-1995-0054,1995-10-18,1995-10-19,2.0,heavy rains,Idukki
UEI-IMD-FL-1995-0054,1995-10-18,1995-10-19,2.0,heavy rains,Thiruvananthapuram
UEI-IMD-FL-1996-0050,1996-06-03,1996-06-03,1.0,heavy rains,Kottayam
UEI-IMD-FL-1996-0051,1996-06-13,1996-06-13,1.0,heavy rains,Thiruvananthapuram
UEI-IMD-FL-1996-0052,1996-06-14,1996-06-15,2.0,heavy rains,Alappuzha
UEI-IMD-FL-1996-0052,1996-06-14,1996-06-15,2.0,heavy rains,Ernakulam
UEI-IMD-FL-1996-0052,1996-06-14,1996-06-15,2.0,heavy rains,Idukki
UEI-IMD-FL-1996-0052,1996-06-14,1996-06-15,2.0,heavy rains,Kannur
UEI-IMD-FL-1996-0052,1996-06-14,1996-06-15,2.0,heavy rains,Kasaragod
UEI-IMD-FL-1996-0052,1996-06-14,1996-06-15,2.0,heavy rains,Kottayam
UEI-IMD-FL-1996-0052,1996-06-14,1996-06-15,2.0,heavy rains,Kozhikode
UEI-IMD-FL-1996-0052,1996-06-14,1996-06-15,2.0,heavy rains,Malappuram
UEI-IMD-FL-1996-0052,1996-06-14,1996-06-15,2.0,heavy rains,Thrissur
UEI-IMD-FL-1996-0052,1996-06-14,1996-06-15,2.0,heavy rains,Wayanad
UEI-IMD-FL-1996-0053,1996-06-16,1996-06-22,7.0,heavy rains,Kasaragod
UEI-IMD-FL-1996-0053,1996-06-16,1996-06-22,7.0,heavy rains,Wayanad
UEI-IMD-FL-1996-0053,1996-06-16,1996-06-22,7.0,heavy rains,Kozhikode
UEI-IMD-FL-1996-0053,1996-06-16,1996-06-22,7.0,heavy rains,Malappuram
UEI-IMD-FL-1996-0053,1996-06-16,1996-06-22,7.0,heavy rains,Palakkad
UEI-IMD-FL-1996-0053,1996-06-16,1996-06-22,7.0,heavy rains,Thrissur
UEI-IMD-FL-1996-0053,1996-06-16,1996-06-22,7.0,heavy rains,Idukki
UEI-IMD-FL-1996-0053,1996-06-16,1996-06-22,7.0,heavy rains,Ernakulam
UEI-IMD-FL-1996-0053,1996-06-16,1996-06-22,7.0,heavy rains,Alappuzha
UEI-IMD-FL-1996-0053,1996-06-16,1996-06-22,7.0,heavy rains,Kottayam
UEI-IMD-FL-1996-0053,1996-06-16,1996-06-22,7.0,heavy rains,Pathanamthitta
UEI-IMD-FL-1996-0053,1996-06-16,1996-06-22,7.0,heavy rains,Kollam
UEI-IMD-FL-1996-0053,1996-06-16,1996-06-22,7.0,heavy rains,Thiruvananthapuram
UEI-IMD-FL-1996-0053,1996-06-16,1996-06-22,7.0,heavy rains,Kannur
UEI-IMD-FL-1996-0054,1996-06-17,1996-06-17,1.0,heavy rains,Thiruvananthapuram
UEI-IMD-FL-1996-0055,1996-06-20,1996-06-20,1.0,heavy rains,Kozhikode
UEI-IMD-FL-1996-0055,1996-06-20,1996-06-20,1.0,heavy rains,Thiruvananthapuram
UEI-IMD-FL-1996-0056,1996-07-20,1996-07-21,2.0,heavy rains,Idukki
UEI-IMD-FL-1996-0056,1996-07-20,1996-07-21,2.0,heavy rains,Pathanamthitta
UEI-IMD-FL-1996-0057,1996-07-24,1996-07-24,1.0,heavy rains,Idukki
UEI-IMD-FL-1996-0057,1996-07-24,1996-07-24,1.0,heavy rains,Kozhikode
UEI-IMD-FL-1996-0058,1996-08-08,1996-08-08,1.0,heavy rains,Thiruvananthapuram
UEI-IMD-FL-1996-0059,1996-08-12,1996-08-12,1.0,heavy rains,Idukki
UEI-IMD-FL-1996-0060,1996-08-23,1996-08-23,1.0,heavy rains,Kottayam
UEI-IMD-FL-1996-0061,1996-09-11,1996-09-11,1.0,heavy rains,Idukki
UEI-IMD-FL-1997-0040,1997-05-07,1997-05-07,1.0,heavy rains,Kottayam
UEI-IMD-FL-1997-0041,1997-06-30,1997-06-30,1.0,heavy rains,Ernakulam
UEI-IMD-FL-1997-0042,1997-07-01,1997-07-12,12.0,heavy rains,Kannur
UEI-IMD-FL-1997-0042,1997-07-01,1997-07-12,12.0,heavy rains,Kasaragod
UEI-IMD-FL-1997-0042,1997-07-01,1997-07-12,12.0,heavy rains,Kottayam
UEI-IMD-FL-1997-0042,1997-07-01,1997-07-12,12.0,heavy rains,Kozhikode
UEI-IMD-FL-1997-0042,1997-07-01,1997-07-12,12.0,heavy rains,Malappuram
UEI-IMD-FL-1997-0042,1997-07-01,1997-07-12,12.0,heavy rains,Thiruvananthapuram
UEI-IMD-FL-1997-0043,1997-07-20,1997-07-24,5.0,heavy rains,Idukki
UEI-IMD-FL-1997-0043,1997-07-20,1997-07-24,5.0,heavy rains,Kottayam
UEI-IMD-FL-1997-0044,1997-07-24,1997-07-26,3.0,heavy rains,Alappuzha
UEI-IMD-FL-1997-0044,1997-07-24,1997-07-26,3.0,heavy rains,Malappuram
UEI-IMD-FL-1997-0045,1997-08-08,1997-08-10,3.0,heavy rains,Malappuram
UEI-IMD-FL-1997-0045,1997-08-08,1997-08-10,3.0,heavy rains,Thiruvananthapuram
UEI-IMD-FL-1997-0045,1997-08-08,1997-08-10,3.0,heavy rains,Thrissur
UEI-IMD-FL-1997-0046,1997-09-12,1997-09-12,1.0,heavy rains,Kottayam
UEI-IMD-FL-1997-0047,1997-09-22,1997-09-22,1.0,heavy rains,Thiruvananthapuram
UEI-IMD-FL-1997-0048,1997-11-03,1997-11-11,9.0,heavy rains,Alappuzha
UEI-IMD-FL-1997-0048,1997-11-03,1997-11-11,9.0,heavy rains,Idukki
UEI-IMD-FL-1997-0048,1997-11-03,1997-11-11,9.0,heavy rains,Kottayam
UEI-IMD-FL-1997-0048,1997-11-03,1997-11-11,9.0,heavy rains,Malappuram
